station,hour,day,weather,event,passenger_count
Doddakallasandra,15,Sunday,Clear,0,11236
Jayaprakash Nagar,14,Saturday,Cloudy,0,10142
Swami Vivekananda Road,19,Wednesday,Rain,0,20691
Jalahalli,13,Saturday,Rain,1,15061
"Sri Balagangadharanatha Swamiji Station, Hosahalli",21,Saturday,Clear,1,12905
Hoodi,9,Tuesday,Rain,0,21265
Peenya,16,Saturday,Rain,0,12198
Attiguppe,14,Thursday,Rain,0,14437
Mahakavi Kuvempu Road,6,Saturday,Clear,0,15405
Singayyanapalya,15,Thursday,Clear,0,9522
Rajajinagar,12,Friday,Rain,0,8473
Krantivira Sangolli Rayanna Railway Station,17,Sunday,Clear,0,11883
Pattandur Agrahara,9,Thursday,Clear,0,14492
"Nadaprabhu Kempegowda Station, Majestic",22,Thursday,Rain,1,11641
Lalbagh,13,Wednesday,Clear,0,9842
Pattanagere,10,Monday,Clear,0,12022
Pattandur Agrahara,21,Saturday,Rain,0,13435
Cubbon Park,18,Tuesday,Cloudy,0,20185
National College,11,Tuesday,Clear,1,12627
Konanakunte Cross,11,Thursday,Cloudy,0,10556
Banashankari,21,Wednesday,Rain,0,13897
Konanakunte Cross,21,Thursday,Cloudy,1,12220
Srirampura,10,Monday,Cloudy,1,15574
Singayyanapalya,12,Wednesday,Rain,0,12841
Chickpete,15,Wednesday,Clear,0,13782
Jayaprakash Nagar,12,Monday,Clear,0,9860
"Nadaprabhu Kempegowda Station, Majestic",12,Friday,Cloudy,0,15125
Mysore Road,15,Sunday,Clear,0,12589
Yelachenahalli,9,Thursday,Clear,0,19721
Sandal Soap Factory,10,Tuesday,Cloudy,0,13537
Mahakavi Kuvempu Road,11,Tuesday,Clear,0,12369
Silk Institute,11,Wednesday,Cloudy,0,10513
Yeshwanthpur,8,Friday,Rain,0,22060
Mantri Square Sampige Road,7,Thursday,Rain,0,13167
Deepanjali Nagar,16,Monday,Clear,0,11650
Mahalakshmi,18,Tuesday,Cloudy,0,21401
Peenya Industry,11,Thursday,Cloudy,0,14224
Swami Vivekananda Road,21,Tuesday,Cloudy,0,11391
Kengeri Bus Terminal,17,Tuesday,Cloudy,0,10693
Banashankari,9,Tuesday,Clear,0,23216
Sri Sathya Sai Hospital,19,Tuesday,Clear,0,15549
Singayyanapalya,9,Sunday,Clear,0,16368
Srirampura,22,Wednesday,Clear,1,11367
Mahakavi Kuvempu Road,11,Sunday,Cloudy,0,13213
Krishna Rajendra Market,20,Friday,Clear,0,11924
Garudacharapalya,9,Tuesday,Cloudy,0,23389
Peenya Industry,9,Monday,Rain,0,24597
Chickpete,8,Thursday,Cloudy,0,22135
Garudacharapalya,17,Thursday,Clear,0,14014
Dasarahalli,9,Saturday,Clear,0,21155
Srirampura,14,Monday,Rain,0,14256
Mahakavi Kuvempu Road,18,Sunday,Cloudy,0,18094
Dasarahalli,10,Saturday,Rain,0,13544
Lalbagh,14,Sunday,Rain,0,10737
Hoodi,10,Friday,Rain,0,8847
Krishna Rajendra Market,14,Friday,Cloudy,1,11455
Sandal Soap Factory,12,Wednesday,Rain,1,11532
National College,13,Wednesday,Clear,0,14329
Rajarajeshwari Nagar,22,Wednesday,Clear,0,15105
Vijayanagar,20,Thursday,Clear,0,13741
Cubbon Park,8,Thursday,Cloudy,0,17420
Vajarahalli,13,Wednesday,Clear,1,12221
Goraguntepalya,9,Sunday,Rain,0,24229
Dasarahalli,8,Sunday,Cloudy,0,15139
Halasuru,7,Sunday,Clear,0,14797
Trinity,9,Thursday,Rain,0,17615
Magadi Road,22,Thursday,Cloudy,0,14760
Seetharampalya,18,Sunday,Cloudy,0,19890
Jnanabharathi,18,Monday,Cloudy,1,19267
Banashankari,19,Monday,Clear,1,17041
Thalaghattapura,17,Friday,Cloudy,1,9306
Halasuru,17,Thursday,Rain,0,14651
Hopefarm Channasandra,16,Monday,Clear,0,8660
Kengeri,11,Friday,Clear,0,11190
Whitefield (Kadugodi),15,Tuesday,Rain,0,14735
Peenya Industry,13,Friday,Rain,0,8811
Garudacharapalya,11,Monday,Clear,0,10571
National College,7,Thursday,Cloudy,0,14579
Magadi Road,8,Tuesday,Cloudy,0,18104
Yelachenahalli,19,Sunday,Rain,0,23131
Vajarahalli,12,Wednesday,Clear,1,9288
Hopefarm Channasandra,11,Wednesday,Clear,1,8782
Thalaghattapura,8,Tuesday,Rain,1,23682
Cubbon Park,7,Tuesday,Cloudy,0,12465
Swami Vivekananda Road,21,Saturday,Cloudy,0,11583
Jayanagar,15,Thursday,Rain,0,13155
Halasuru,14,Sunday,Rain,0,10878
Rajajinagar,20,Friday,Clear,1,10420
South End Circle,16,Sunday,Cloudy,0,13461
Banashankari,7,Wednesday,Clear,0,13282
Rajarajeshwari Nagar,13,Thursday,Rain,1,15530
Banashankari,19,Friday,Rain,0,17073
Banashankari,9,Sunday,Rain,0,22233
Konanakunte Cross,21,Sunday,Rain,0,8844
Whitefield (Kadugodi),21,Thursday,Cloudy,1,14507
Cubbon Park,19,Friday,Cloudy,0,19420
Mantri Square Sampige Road,13,Sunday,Clear,1,13506
Hopefarm Channasandra,22,Tuesday,Clear,0,12323
Banashankari,11,Wednesday,Clear,1,15594
National College,16,Monday,Cloudy,1,12914
Dasarahalli,20,Friday,Rain,1,10159
Sandal Soap Factory,22,Wednesday,Cloudy,0,9667
"Nadaprabhu Kempegowda Station, Majestic",17,Sunday,Rain,0,11614
Kadugodi Tree Park,18,Friday,Cloudy,1,18312
Silk Institute,16,Sunday,Cloudy,0,11669
Attiguppe,18,Friday,Cloudy,1,20904
Jnanabharathi,15,Thursday,Rain,0,9755
Rashtreeya Vidyalaya Road,19,Thursday,Cloudy,0,20892
South End Circle,12,Sunday,Clear,1,12958
Hopefarm Channasandra,18,Wednesday,Clear,0,23939
Goraguntepalya,14,Monday,Rain,0,11583
Garudacharapalya,22,Tuesday,Cloudy,1,11362
Cubbon Park,22,Saturday,Cloudy,0,11751
Cubbon Park,13,Saturday,Clear,0,13554
Banashankari,10,Saturday,Clear,0,8606
Pantharapalya - Nayandahalli,16,Tuesday,Rain,0,12875
Krantivira Sangolli Rayanna Railway Station,18,Thursday,Cloudy,0,19870
Pattanagere,8,Tuesday,Cloudy,0,24274
Peenya Industry,12,Monday,Rain,1,9465
National College,11,Friday,Rain,0,14293
Yeshwanthpur,11,Tuesday,Clear,0,11924
Deepanjali Nagar,13,Monday,Rain,0,13349
Mantri Square Sampige Road,20,Wednesday,Rain,0,13084
Krantivira Sangolli Rayanna Railway Station,8,Friday,Clear,1,14216
Peenya Industry,14,Friday,Rain,0,13741
Halasuru,17,Saturday,Cloudy,0,14546
Seetharampalya,15,Wednesday,Cloudy,0,9124
Vajarahalli,18,Friday,Rain,0,22888
Jayanagar,13,Saturday,Cloudy,1,15276
Hoodi,12,Friday,Rain,0,10709
Peenya Industry,12,Saturday,Cloudy,0,14139
Lalbagh,20,Saturday,Rain,1,14444
Peenya Industry,10,Wednesday,Cloudy,0,9173
Krishna Rajendra Market,7,Sunday,Rain,0,14961
National College,11,Sunday,Clear,1,10415
Hopefarm Channasandra,13,Saturday,Clear,0,11064
Lalbagh,20,Monday,Rain,0,15227
Konanakunte Cross,17,Sunday,Rain,1,12049
National College,22,Saturday,Clear,0,15447
Pattanagere,8,Thursday,Rain,0,16562
Kadugodi Tree Park,9,Tuesday,Cloudy,0,22679
Singayyanapalya,16,Thursday,Cloudy,0,9864
Goraguntepalya,17,Tuesday,Cloudy,0,10031
Pattanagere,14,Wednesday,Cloudy,0,15369
Mysore Road,22,Friday,Clear,0,11056
Peenya,13,Thursday,Rain,1,13484
Halasuru,9,Sunday,Clear,0,16618
Whitefield (Kadugodi),12,Tuesday,Rain,0,8900
"Dr. B. R. Ambedkar Station, Vidhana Soudha",22,Thursday,Cloudy,0,11372
Trinity,8,Sunday,Clear,0,18584
Singayyanapalya,6,Thursday,Clear,0,14803
Rajajinagar,17,Monday,Rain,0,14887
Pattandur Agrahara,11,Monday,Rain,1,14784
Krantivira Sangolli Rayanna Railway Station,15,Wednesday,Clear,0,11212
Thalaghattapura,19,Saturday,Cloudy,0,17866
Kundalahalli,21,Monday,Clear,1,12142
Mahatma Gandhi Road,12,Thursday,Cloudy,0,13353
Chickpete,13,Saturday,Rain,0,10672
Peenya Industry,22,Friday,Clear,0,12152
South End Circle,8,Thursday,Rain,0,17184
Magadi Road,19,Monday,Clear,1,21126
Magadi Road,11,Friday,Clear,0,11915
"Sri Balagangadharanatha Swamiji Station, Hosahalli",18,Saturday,Cloudy,0,14577
Pantharapalya - Nayandahalli,12,Saturday,Cloudy,0,9168
Pantharapalya - Nayandahalli,11,Sunday,Clear,0,9836
Krishna Rajendra Market,16,Wednesday,Clear,0,12879
Sandal Soap Factory,8,Thursday,Rain,0,20586
Chickpete,11,Monday,Clear,0,12604
Trinity,9,Saturday,Rain,0,20732
Pattanagere,12,Sunday,Clear,0,10085
Rajajinagar,14,Monday,Clear,0,12387
Jayanagar,9,Monday,Clear,1,20668
Kundalahalli,6,Friday,Cloudy,0,10505
Swami Vivekananda Road,7,Sunday,Cloudy,0,14788
Singayyanapalya,16,Saturday,Cloudy,1,14988
Jayaprakash Nagar,11,Saturday,Cloudy,0,15522
Jnanabharathi,20,Friday,Rain,0,11203
Halasuru,15,Friday,Cloudy,0,9356
Seetharampalya,11,Sunday,Cloudy,1,13944
Nagasandra,14,Wednesday,Cloudy,0,8944
Indiranagar,9,Tuesday,Cloudy,1,13572
Swami Vivekananda Road,19,Tuesday,Rain,0,24497
Cubbon Park,7,Wednesday,Cloudy,0,10802
Hoodi,15,Wednesday,Rain,0,12128
Konanakunte Cross,16,Thursday,Clear,0,10202
Rajajinagar,16,Thursday,Rain,0,14402
Goraguntepalya,12,Tuesday,Rain,1,12660
Vajarahalli,19,Thursday,Clear,0,22321
Dasarahalli,21,Thursday,Rain,0,13069
Garudacharapalya,11,Thursday,Cloudy,0,8522
Krantivira Sangolli Rayanna Railway Station,9,Monday,Rain,0,19227
Peenya,11,Thursday,Cloudy,0,13377
Pattanagere,10,Friday,Cloudy,0,9142
Nagasandra,21,Monday,Rain,0,15237
Vijayanagar,22,Tuesday,Cloudy,0,11687
Krishnarajapuram (K.R.Puram),22,Thursday,Clear,1,10285
Halasuru,7,Tuesday,Clear,1,12300
Peenya,9,Wednesday,Clear,1,21499
Vajarahalli,10,Thursday,Rain,0,12807
Vajarahalli,8,Tuesday,Clear,1,23316
Krishnarajapuram (K.R.Puram),8,Friday,Cloudy,1,21300
Halasuru,8,Tuesday,Rain,0,22565
"Nadaprabhu Kempegowda Station, Majestic",13,Friday,Clear,0,9589
Mahalakshmi,6,Thursday,Cloudy,0,11770
"Dr. B. R. Ambedkar Station, Vidhana Soudha",18,Thursday,Cloudy,0,14610
Mahalakshmi,18,Wednesday,Clear,0,17844
Jalahalli,17,Friday,Cloudy,0,12098
Krantivira Sangolli Rayanna Railway Station,9,Thursday,Clear,0,13481
"Dr. B. R. Ambedkar Station, Vidhana Soudha",18,Wednesday,Clear,1,18984
Konanakunte Cross,10,Friday,Clear,0,9098
Peenya,19,Monday,Rain,0,18496
Konanakunte Cross,9,Thursday,Clear,0,17950
Mahakavi Kuvempu Road,14,Sunday,Clear,0,11456
Mahalakshmi,12,Wednesday,Rain,0,13101
Silk Institute,21,Tuesday,Cloudy,0,11654
Magadi Road,10,Sunday,Cloudy,0,11556
Kadugodi Tree Park,21,Thursday,Cloudy,1,12812
Pattandur Agrahara,21,Friday,Clear,1,9298
Attiguppe,10,Wednesday,Clear,0,11790
Mahatma Gandhi Road,6,Friday,Clear,1,12768
Rashtreeya Vidyalaya Road,21,Monday,Cloudy,0,8721
Goraguntepalya,16,Monday,Rain,0,9955
Garudacharapalya,20,Thursday,Cloudy,0,9423
Pantharapalya - Nayandahalli,7,Sunday,Rain,0,11697
Chickpete,19,Friday,Clear,1,14475
Konanakunte Cross,6,Wednesday,Rain,1,10635
Banashankari,9,Monday,Rain,0,16532
Swami Vivekananda Road,7,Tuesday,Cloudy,0,10436
Vajarahalli,14,Wednesday,Clear,0,13525
National College,18,Wednesday,Cloudy,0,22428
Baiyappanahalli,19,Monday,Rain,0,21482
South End Circle,21,Saturday,Cloudy,1,11779
Mahalakshmi,9,Thursday,Rain,0,19533
Hoodi,21,Wednesday,Clear,0,12771
Krishnarajapuram (K.R.Puram),13,Tuesday,Cloudy,1,11088
Doddakallasandra,8,Saturday,Rain,0,23934
Kengeri,14,Friday,Cloudy,1,15528
Kundalahalli,9,Tuesday,Clear,1,15755
Jayaprakash Nagar,7,Monday,Rain,1,13675
Sri Sathya Sai Hospital,14,Saturday,Clear,0,12259
Jayanagar,10,Tuesday,Cloudy,0,10507
Jalahalli,14,Friday,Rain,0,12990
Rajajinagar,18,Tuesday,Clear,0,19142
Krantivira Sangolli Rayanna Railway Station,14,Wednesday,Rain,0,12851
Kadugodi Tree Park,21,Friday,Rain,0,10696
Vajarahalli,17,Tuesday,Clear,0,14142
Garudacharapalya,8,Sunday,Rain,0,23706
Attiguppe,8,Monday,Rain,0,20028
Lalbagh,17,Saturday,Cloudy,0,12559
Seetharampalya,7,Sunday,Rain,0,10599
South End Circle,6,Wednesday,Clear,0,9125
Lalbagh,14,Wednesday,Clear,1,13396
Mahakavi Kuvempu Road,17,Wednesday,Cloudy,0,9311
Vijayanagar,15,Saturday,Rain,0,14227
Mahatma Gandhi Road,21,Sunday,Clear,0,15276
Yelachenahalli,18,Saturday,Cloudy,0,23943
Banashankari,22,Tuesday,Clear,0,9645
"Sri Balagangadharanatha Swamiji Station, Hosahalli",9,Thursday,Cloudy,0,14287
Mysore Road,10,Friday,Cloudy,1,12841
Peenya Industry,11,Saturday,Cloudy,0,10713
Mysore Road,18,Tuesday,Clear,0,23474
Goraguntepalya,10,Saturday,Clear,0,13886
Sri Sathya Sai Hospital,15,Friday,Rain,0,12242
Swami Vivekananda Road,9,Wednesday,Cloudy,0,21527
Banashankari,17,Wednesday,Clear,0,10092
"Sri Balagangadharanatha Swamiji Station, Hosahalli",7,Tuesday,Clear,0,13333
Trinity,7,Monday,Rain,0,8671
Mahakavi Kuvempu Road,7,Tuesday,Cloudy,0,14633
Vajarahalli,10,Saturday,Clear,0,10790
Srirampura,22,Saturday,Clear,0,12484
Jalahalli,14,Monday,Clear,1,15411
South End Circle,13,Tuesday,Cloudy,1,11329
Attiguppe,6,Thursday,Rain,0,12325
Singayyanapalya,7,Monday,Rain,0,9859
Nagasandra,10,Sunday,Clear,0,8935
Magadi Road,21,Tuesday,Clear,0,11934
Yeshwanthpur,17,Thursday,Rain,0,13712
Silk Institute,20,Friday,Rain,0,15269
Vijayanagar,22,Wednesday,Clear,0,12509
Krantivira Sangolli Rayanna Railway Station,11,Friday,Clear,0,10552
Kengeri Bus Terminal,16,Monday,Clear,0,10531
Pattanagere,19,Monday,Rain,0,16263
"Sri Balagangadharanatha Swamiji Station, Hosahalli",12,Wednesday,Rain,0,11370
Yeshwanthpur,15,Tuesday,Rain,1,9460
Hoodi,19,Saturday,Cloudy,0,14839
Garudacharapalya,9,Saturday,Cloudy,0,21762
Trinity,19,Tuesday,Cloudy,0,19848
Deepanjali Nagar,11,Wednesday,Clear,0,11523
Pattanagere,7,Saturday,Rain,0,13666
Kundalahalli,9,Thursday,Clear,1,23959
Pattandur Agrahara,19,Tuesday,Cloudy,0,13736
Kundalahalli,7,Sunday,Clear,1,13587
Mantri Square Sampige Road,6,Thursday,Clear,0,8505
Deepanjali Nagar,8,Friday,Clear,0,22991
Peenya,16,Friday,Clear,0,9768
Vajarahalli,13,Friday,Rain,0,8533
"Sir.M.Visvesvaraya Stn., Central College",16,Wednesday,Clear,0,10918
Pattanagere,9,Saturday,Rain,0,20078
Hopefarm Channasandra,11,Thursday,Clear,0,10810
Garudacharapalya,19,Friday,Rain,0,19243
Sandal Soap Factory,16,Friday,Clear,0,11273
Goraguntepalya,9,Tuesday,Cloudy,1,23138
Hopefarm Channasandra,6,Monday,Clear,1,10308
Seetharampalya,18,Thursday,Clear,0,20060
Seetharampalya,20,Friday,Clear,0,8925
Mahakavi Kuvempu Road,12,Thursday,Cloudy,0,8491
Krantivira Sangolli Rayanna Railway Station,17,Friday,Clear,0,13020
Rajarajeshwari Nagar,15,Monday,Cloudy,1,12030
Rajarajeshwari Nagar,14,Friday,Clear,1,9562
Kundalahalli,15,Tuesday,Rain,0,11749
Lalbagh,22,Sunday,Rain,0,13634
Yeshwanthpur,18,Wednesday,Clear,0,19774
Kundalahalli,19,Sunday,Cloudy,1,14186
Garudacharapalya,6,Wednesday,Rain,0,12550
Mantri Square Sampige Road,6,Monday,Rain,0,15097
"Dr. B. R. Ambedkar Station, Vidhana Soudha",19,Wednesday,Rain,0,16357
Sri Sathya Sai Hospital,22,Tuesday,Cloudy,0,9772
Hoodi,16,Saturday,Clear,1,15180
Garudacharapalya,13,Sunday,Clear,0,12964
Peenya,12,Tuesday,Rain,1,8707
Sri Sathya Sai Hospital,16,Monday,Cloudy,1,15147
Krantivira Sangolli Rayanna Railway Station,11,Tuesday,Rain,0,12783
Attiguppe,7,Thursday,Cloudy,0,12319
Krishna Rajendra Market,12,Friday,Clear,0,13107
Trinity,13,Thursday,Clear,0,13049
Jayanagar,20,Thursday,Cloudy,0,12506
Sandal Soap Factory,22,Tuesday,Rain,1,14297
Nagasandra,7,Monday,Rain,0,14050
Hoodi,8,Monday,Rain,1,16099
Indiranagar,7,Saturday,Rain,0,10297
Vijayanagar,22,Saturday,Clear,1,14185
"Nadaprabhu Kempegowda Station, Majestic",9,Saturday,Rain,1,19881
Sandal Soap Factory,20,Sunday,Rain,1,12375
Swami Vivekananda Road,18,Saturday,Rain,0,14396
Thalaghattapura,8,Sunday,Rain,0,23522
Krantivira Sangolli Rayanna Railway Station,22,Wednesday,Clear,1,10918
Pattandur Agrahara,6,Thursday,Cloudy,0,9591
Doddakallasandra,12,Friday,Rain,0,10953
Baiyappanahalli,6,Sunday,Rain,0,13190
Singayyanapalya,19,Tuesday,Clear,0,14775
Thalaghattapura,20,Friday,Rain,0,14059
Mysore Road,22,Monday,Clear,0,10112
Kengeri Bus Terminal,6,Sunday,Cloudy,1,8491
Deepanjali Nagar,6,Friday,Clear,0,9601
Indiranagar,12,Tuesday,Rain,0,12190
Sri Sathya Sai Hospital,11,Friday,Rain,1,11075
Konanakunte Cross,22,Friday,Cloudy,1,13562
"Sri Balagangadharanatha Swamiji Station, Hosahalli",8,Saturday,Clear,0,24128
Goraguntepalya,7,Friday,Cloudy,1,13092
Whitefield (Kadugodi),21,Saturday,Clear,0,13064
Doddakallasandra,18,Friday,Rain,0,17498
Konanakunte Cross,13,Wednesday,Clear,1,15393
Mahatma Gandhi Road,8,Tuesday,Cloudy,0,18954
Jayanagar,13,Tuesday,Clear,0,11246
Pattanagere,14,Friday,Clear,1,12858
Baiyappanahalli,21,Saturday,Clear,0,9090
Rajajinagar,9,Monday,Cloudy,0,21312
Jnanabharathi,19,Tuesday,Clear,1,22646
Whitefield (Kadugodi),8,Friday,Rain,0,21692
Nallurhalli,19,Monday,Clear,0,18905
Mantri Square Sampige Road,20,Tuesday,Rain,0,8696
Peenya Industry,22,Saturday,Cloudy,0,11013
Chickpete,21,Saturday,Cloudy,0,9182
Kadugodi Tree Park,22,Tuesday,Cloudy,1,10852
Peenya,14,Saturday,Clear,0,9552
Peenya Industry,7,Wednesday,Clear,0,14699
South End Circle,20,Saturday,Cloudy,0,9293
Mahakavi Kuvempu Road,16,Friday,Rain,0,9026
"Sir.M.Visvesvaraya Stn., Central College",17,Thursday,Rain,1,13255
Baiyappanahalli,15,Friday,Clear,0,10667
Goraguntepalya,17,Saturday,Rain,1,9557
"Dr. B. R. Ambedkar Station, Vidhana Soudha",6,Thursday,Rain,1,10956
Attiguppe,6,Saturday,Rain,0,13874
Jayanagar,21,Thursday,Rain,0,11928
Lalbagh,6,Monday,Clear,0,11648
Pattandur Agrahara,10,Tuesday,Cloudy,0,8935
Goraguntepalya,13,Monday,Rain,0,15396
Magadi Road,16,Wednesday,Clear,0,12289
Lalbagh,13,Tuesday,Cloudy,0,9860
Hoodi,13,Thursday,Rain,0,10563
Mahalakshmi,21,Wednesday,Rain,0,13912
Goraguntepalya,15,Saturday,Cloudy,0,10948
Nagasandra,10,Monday,Rain,0,10019
Kundalahalli,22,Friday,Cloudy,1,10647
Chickpete,20,Monday,Clear,0,15442
Rajajinagar,6,Friday,Rain,0,11029
Mahalakshmi,7,Tuesday,Rain,0,11830
National College,18,Tuesday,Rain,0,24718
Silk Institute,10,Thursday,Cloudy,0,12465
Konanakunte Cross,15,Sunday,Rain,0,10301
Jayaprakash Nagar,15,Saturday,Rain,0,10019
"Sri Balagangadharanatha Swamiji Station, Hosahalli",18,Friday,Cloudy,1,22845
Jayaprakash Nagar,20,Tuesday,Clear,0,14812
Mahakavi Kuvempu Road,14,Thursday,Rain,0,11332
Deepanjali Nagar,19,Saturday,Rain,1,14627
Pantharapalya - Nayandahalli,22,Friday,Cloudy,1,11333
"Sri Balagangadharanatha Swamiji Station, Hosahalli",9,Monday,Cloudy,0,15392
Rajarajeshwari Nagar,15,Thursday,Clear,0,12857
Rashtreeya Vidyalaya Road,16,Thursday,Clear,0,10970
Vajarahalli,20,Tuesday,Cloudy,0,13749
Whitefield (Kadugodi),12,Saturday,Clear,0,10980
Chickpete,9,Wednesday,Rain,0,14527
Cubbon Park,22,Wednesday,Cloudy,0,10981
Sri Sathya Sai Hospital,12,Friday,Cloudy,0,14498
Kundalahalli,6,Wednesday,Rain,0,10540
Halasuru,17,Tuesday,Cloudy,1,14134
Cubbon Park,18,Wednesday,Rain,1,22196
Silk Institute,12,Thursday,Rain,1,14866
Jayaprakash Nagar,8,Tuesday,Clear,0,14354
Hoodi,9,Sunday,Rain,0,21237
Trinity,7,Thursday,Cloudy,1,15100
Jayanagar,13,Wednesday,Rain,0,11142
Yelachenahalli,18,Wednesday,Clear,0,13770
Kengeri Bus Terminal,6,Friday,Clear,0,14339
Lalbagh,7,Monday,Clear,0,11665
Kengeri Bus Terminal,17,Saturday,Rain,0,13583
Krishnarajapuram (K.R.Puram),7,Saturday,Cloudy,0,11531
Cubbon Park,18,Sunday,Clear,0,18354
Peenya,17,Thursday,Cloudy,1,14947
"Sir.M.Visvesvaraya Stn., Central College",19,Monday,Clear,0,16260
Whitefield (Kadugodi),20,Tuesday,Clear,1,13124
"Sir.M.Visvesvaraya Stn., Central College",9,Thursday,Cloudy,0,18591
Goraguntepalya,10,Sunday,Rain,1,11121
Mantri Square Sampige Road,17,Sunday,Clear,1,10178
Singayyanapalya,7,Sunday,Cloudy,0,10756
Seetharampalya,11,Saturday,Cloudy,1,15178
Kundalahalli,13,Tuesday,Clear,1,8879
Nagasandra,15,Saturday,Rain,0,15375
Kadugodi Tree Park,19,Saturday,Cloudy,0,18678
Rajarajeshwari Nagar,8,Monday,Rain,0,23540
National College,20,Saturday,Clear,1,14659
Garudacharapalya,8,Monday,Clear,0,21415
South End Circle,18,Tuesday,Cloudy,0,23217
Halasuru,14,Tuesday,Cloudy,1,8680
Jayanagar,8,Friday,Rain,0,16195
Doddakallasandra,7,Thursday,Cloudy,0,12271
Mahakavi Kuvempu Road,20,Monday,Clear,0,8606
Sandal Soap Factory,7,Saturday,Clear,1,9709
Attiguppe,21,Monday,Rain,0,14788
Attiguppe,8,Sunday,Clear,0,14428
Goraguntepalya,14,Tuesday,Cloudy,0,13577
Deepanjali Nagar,15,Monday,Rain,0,10070
Mysore Road,17,Sunday,Cloudy,0,10763
Hopefarm Channasandra,15,Friday,Cloudy,0,9534
Sri Sathya Sai Hospital,13,Wednesday,Rain,0,14524
Krishna Rajendra Market,7,Friday,Clear,0,11475
Vijayanagar,15,Thursday,Cloudy,0,9170
Nagasandra,18,Wednesday,Clear,0,21810
Doddakallasandra,9,Tuesday,Rain,0,24892
Mysore Road,16,Sunday,Clear,1,10425
Pantharapalya - Nayandahalli,18,Wednesday,Cloudy,0,19599
Jayanagar,9,Thursday,Clear,0,15654
Kengeri Bus Terminal,15,Tuesday,Rain,0,15213
Rajajinagar,13,Thursday,Cloudy,0,13606
Kengeri,16,Tuesday,Rain,1,9358
Rashtreeya Vidyalaya Road,14,Wednesday,Clear,0,12772
Yelachenahalli,9,Sunday,Cloudy,0,14524
Banashankari,8,Tuesday,Cloudy,1,24996
Nagasandra,6,Sunday,Rain,0,13010
Garudacharapalya,19,Tuesday,Rain,0,16294
Trinity,20,Tuesday,Rain,0,12135
Hoodi,15,Saturday,Cloudy,1,8610
Rajajinagar,15,Monday,Cloudy,0,11508
Trinity,15,Monday,Rain,1,15542
"Nadaprabhu Kempegowda Station, Majestic",7,Sunday,Cloudy,0,15388
Singayyanapalya,17,Monday,Cloudy,0,9586
Peenya Industry,19,Saturday,Clear,0,14949
Baiyappanahalli,16,Wednesday,Cloudy,0,10889
Kengeri,22,Thursday,Cloudy,0,10732
"Dr. B. R. Ambedkar Station, Vidhana Soudha",17,Friday,Rain,0,9434
Jnanabharathi,15,Saturday,Rain,0,12125
Vijayanagar,22,Thursday,Clear,0,10895
Sandal Soap Factory,8,Tuesday,Rain,0,17251
Krishnarajapuram (K.R.Puram),12,Thursday,Clear,0,10632
"Sir.M.Visvesvaraya Stn., Central College",9,Monday,Clear,0,22451
Rashtreeya Vidyalaya Road,7,Sunday,Rain,0,10260
Jayaprakash Nagar,18,Saturday,Clear,0,15457
Kengeri,10,Tuesday,Clear,0,14915
Rajajinagar,9,Friday,Rain,0,16831
"Sri Balagangadharanatha Swamiji Station, Hosahalli",13,Saturday,Rain,0,9909
Peenya Industry,20,Friday,Clear,0,9242
Singayyanapalya,20,Monday,Rain,1,10890
Doddakallasandra,12,Thursday,Rain,1,9809
Kengeri Bus Terminal,7,Thursday,Rain,0,12010
Doddakallasandra,7,Monday,Clear,0,8686
Hopefarm Channasandra,10,Monday,Cloudy,0,9319
Goraguntepalya,16,Thursday,Clear,1,11136
Mahakavi Kuvempu Road,21,Wednesday,Rain,0,9434
Garudacharapalya,22,Monday,Cloudy,0,9895
Hopefarm Channasandra,14,Saturday,Rain,0,13222
Jayaprakash Nagar,15,Friday,Rain,0,13078
Jnanabharathi,18,Sunday,Cloudy,0,24970
Peenya,20,Sunday,Clear,0,8693
Rajajinagar,6,Sunday,Cloudy,0,10274
"Dr. B. R. Ambedkar Station, Vidhana Soudha",18,Monday,Clear,0,22376
Hopefarm Channasandra,10,Thursday,Cloudy,0,11005
Doddakallasandra,21,Thursday,Rain,0,15435
Nagasandra,19,Tuesday,Rain,1,13906
Rashtreeya Vidyalaya Road,8,Sunday,Rain,0,17600
Sri Sathya Sai Hospital,7,Tuesday,Clear,1,14612
Garudacharapalya,7,Monday,Cloudy,0,14020
"Sri Balagangadharanatha Swamiji Station, Hosahalli",8,Wednesday,Rain,0,22022
Sri Sathya Sai Hospital,13,Sunday,Rain,0,9016
Hopefarm Channasandra,16,Tuesday,Cloudy,0,15260
Jalahalli,22,Tuesday,Rain,0,10827
Yeshwanthpur,8,Sunday,Clear,0,23485
Baiyappanahalli,18,Saturday,Clear,1,18865
Lalbagh,17,Tuesday,Clear,1,11151
Seetharampalya,14,Monday,Rain,0,15178
Whitefield (Kadugodi),15,Sunday,Rain,1,14216
Rajarajeshwari Nagar,9,Monday,Clear,0,19030
Seetharampalya,7,Monday,Rain,0,10909
Swami Vivekananda Road,7,Monday,Clear,0,11130
Swami Vivekananda Road,15,Wednesday,Rain,0,14663
Indiranagar,11,Saturday,Rain,0,13025
Jalahalli,20,Wednesday,Clear,0,12416
"Nadaprabhu Kempegowda Station, Majestic",8,Saturday,Rain,0,20741
Rajarajeshwari Nagar,6,Friday,Rain,0,10183
Konanakunte Cross,14,Sunday,Clear,1,9757
